Artist,Streams,Dancebility,Valence,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
"Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",120847157,91.0,73.0,72.0,13.0,0.0,9.0,15.0
Josï¿½ï¿½ Felic,520034544,50.0,96.0,82.0,47.0,0.0,34.0,4.0
"Juan Cruz Toledo, Huilen Toledo",1230855859,29.0,12.0,33.0,68.0,0.0,12.0,5.0
Juice WRLD,2474103659,52.0,34.5,55.0,20.5,0.0,35.5,14.0
"Julieta Venegas, Bad Bunny, Tainy",775542072,64.0,14.0,70.0,9.0,0.0,9.0,8.0
Jung Kook,284788646,52.0,42.0,61.5,19.5,0.0,46.5,5.5
"Junior H, Eden Muï¿½ï",89933133,70.0,42.0,43.0,78.0,0.0,11.0,3.0
"Junior H, Peso Pluma",410337753,65.5,81.5,64.0,28.0,0.0,12.5,5.0
Justin Bieber,3919813522,63.0,60.666666666666664,55.333333333333336,52.0,0.0,25.666666666666668,18.0
"Justin Bieber, Daniel Caesar, Giveon",1445941661,63.0,49.0,68.0,38.0,0.0,42.0,18.0
"Justin Bieber, Don Toliver",106919680,82.0,82.0,66.0,13.0,0.0,11.0,6.0
"Justin Bieber, The Kid Laroi",2665343922,59.0,48.0,76.0,4.0,0.0,10.0,5.0
"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",393230256,79.0,79.0,70.0,57.0,0.0,66.0,8.0
KALUSH,53729194,83.0,32.0,82.0,14.0,0.0,12.0,4.0
Kaifi Khalil,156777415,58.0,26.0,38.0,91.0,0.0,10.0,4.0
Kali Uchis,256483385,64.0,88.0,72.0,51.0,0.0,17.0,5.0
"Kali Uchis, Amaarae, Moliy",354065229,86.0,31.0,53.0,43.0,0.0,11.0,6.0
"Kaliii, Kaliii",113509496,82.0,51.0,39.0,2.0,0.0,9.0,49.0
"Kanii, PR1ISVX",77377503,67.0,11.0,76.0,8.0,47.0,30.0,7.0
Kanye West,1967540868,65.33333333333333,38.333333333333336,62.0,6.666666666666667,0.0,20.0,12.0
"Kanye West, Alicia Keys, Fivio Foreign",107255472,47.0,50.0,80.0,10.0,0.0,32.0,38.0
"Kanye West, Lil Durk, Cardi B",85924992,88.0,52.0,69.0,0.0,0.0,8.0,23.0
"Kanye West, XXXTENTACION",194902696,71.0,39.0,86.0,2.0,0.0,51.0,25.0
Karol G,1260876433,79.25,51.75,60.5,57.25,0.25,12.5,17.5
"Karol G, Becky G",716591492,84.0,90.0,70.0,9.0,0.0,14.0,8.0
"Karol G, Ovy On The Drums",294352144,95.0,43.0,69.0,47.0,0.0,9.0,31.0
"Karol G, Quevedo",93438910,86.0,68.0,79.0,39.0,0.0,11.0,29.0
